metric_id,product_id,metric_date,dau,mau,conversion_rate,avg_session_duration,page_views,add_to_cart,checkout_initiated,purchases,revenue,refund_rate,nps_score,feature_adoption_rate,time_to_first_action
65,1,2025-11-24,62,1240,0.0346,396,124,9,5,2,219.06,0.0582,21,0.5254,8
66,1,2025-11-23,60,960,0.0334,501,540,8,3,2,204.62,0.0316,57,0.4514,258
67,1,2025-11-22,64,1344,0.0357,282,128,11,8,2,233.65,0.0116,55,0.6234,194
68,1,2025-11-21,61,1769,0.0373,100,549,12,7,2,232.71,0.053,74,0.5155,50
69,1,2025-11-20,59,1121,0.0353,41,531,7,8,2,212.96,0.0266,35,0.4395,50
70,1,2025-11-19,59,1121,0.0364,248,177,15,5,2,219.34,0.0611,28,0.4165,68
71,1,2025-11-18,55,1155,0.0381,82,385,6,6,2,213.9,0.0423,52,0.517,215
72,1,2025-11-17,58,1276,0.0363,275,464,6,8,2,215.25,0.0368,67,0.3012,39
73,1,2025-11-16,59,1593,0.0333,517,354,12,3,1,200.68,0.0775,71,0.896,236
74,1,2025-11-15,54,1458,0.0317,132,378,14,2,1,175.16,0.0691,24,0.2774,230
75,1,2025-11-14,55,880,0.0324,481,495,11,4,1,182.19,0.0122,65,0.6935,73
76,1,2025-11-13,64,1024,0.0283,340,192,6,7,1,185.27,0.0163,38,0.6804,236
77,1,2025-11-12,57,855,0.0334,312,228,14,6,1,194.72,0.063,20,0.8775,113
78,1,2025-11-11,56,1344,0.0306,33,112,8,4,1,175.02,0.023,22,0.41,178
79,1,2025-11-10,56,1176,0.0316,479,168,11,6,1,180.97,0.067,33,0.3951,251
80,1,2025-11-09,64,1600,0.0293,503,576,13,6,1,191.52,0.0629,70,0.2898,116
81,1,2025-11-08,55,825,0.0309,445,495,16,6,1,173.77,0.0182,31,0.3543,77
82,1,2025-11-07,66,1254,0.0354,66,396,7,6,2,238.81,0.0195,69,0.8855,137
83,1,2025-11-06,52,1196,0.0369,336,468,11,2,1,195.82,0.0453,47,0.201,206
84,1,2025-11-05,62,1736,0.0283,365,248,18,7,1,179.4,0.0356,38,0.2853,100
85,1,2025-11-04,56,840,0.0264,53,504,10,4,1,151.24,0.0516,48,0.2121,248
86,1,2025-11-03,64,1536,0.0361,543,512,16,8,2,235.8,0.0293,55,0.2677,40
87,1,2025-11-02,67,1943,0.0379,139,201,6,4,2,259.39,0.0507,69,0.6663,185
88,1,2025-11-01,57,1653,0.0261,302,399,16,5,1,152.04,0.0329,49,0.6265,106
89,1,2025-10-31,69,1449,0.0307,569,483,13,7,2,216.15,0.0787,53,0.8739,210
90,1,2025-10-30,64,1664,0.0289,201,256,11,3,1,189.01,0.0492,20,0.3115,127
91,1,2025-10-29,60,1140,0.0371,503,540,7,3,2,227.69,0.0612,67,0.266,39
92,1,2025-10-28,56,1568,0.0279,455,168,15,3,1,159.63,0.0282,47,0.3369,189
93,1,2025-10-27,64,1600,0.0347,493,320,9,4,2,226.97,0.0371,55,0.6063,28
94,1,2025-10-26,62,1178,0.0368,505,186,6,6,2,233.35,0.0783,65,0.4517,96
95,1,2025-10-25,63,1197,0.0327,291,504,16,9,2,210.38,0.0316,61,0.3937,178
96,1,2025-10-24,64,1216,0.0342,58,320,10,9,2,223.87,0.0335,32,0.2244,245
97,1,2025-10-23,52,1248,0.0386,213,208,7,3,2,205.27,0.0579,78,0.6557,244
98,1,2025-10-22,60,900,0.0279,178,540,17,3,1,171.15,0.0547,21,0.2577,146
99,1,2025-10-21,62,930,0.0346,72,372,17,4,2,219.31,0.0109,64,0.5854,75
100,1,2025-10-20,58,870,0.0278,216,290,11,6,1,164.77,0.0618,25,0.2464,57
101,1,2025-10-19,60,1500,0.0303,335,480,8,3,1,185.55,0.078,45,0.8092,250
102,1,2025-10-18,68,1088,0.0332,139,204,10,3,2,230.75,0.041,21,0.5427,268
103,1,2025-10-17,63,1449,0.0317,53,378,7,6,1,204.28,0.0669,31,0.2873,137
104,1,2025-10-16,54,1350,0.0332,509,324,10,4,1,183.25,0.0179,49,0.3959,145
105,1,2025-10-15,56,952,0.0298,45,392,11,3,1,170.4,0.0609,24,0.8473,186
106,1,2025-10-14,58,1566,0.0268,489,348,13,3,1,158.94,0.0564,51,0.7097,208
107,1,2025-10-13,44,880,0.036,594,396,5,3,1,161.79,0.0454,57,0.4549,90
108,1,2025-10-12,48,1008,0.0352,410,288,5,3,1,172.84,0.0113,43,0.3099,27
109,1,2025-10-11,60,1500,0.0363,430,240,14,4,2,222.45,0.0624,70,0.6773,51
110,1,2025-10-10,68,1632,0.0313,342,544,17,6,2,217.21,0.0492,64,0.5738,189
111,1,2025-10-09,63,1764,0.0264,562,567,6,8,1,169.97,0.0192,45,0.4676,9
112,1,2025-10-08,55,1320,0.0261,111,385,12,3,1,146.45,0.061,68,0.4182,41
113,1,2025-10-07,72,1368,0.0287,540,432,9,6,2,210.83,0.0588,28,0.2274,178
114,1,2025-10-06,56,952,0.0318,563,392,8,6,1,181.73,0.0455,55,0.661,134
115,1,2025-10-05,56,896,0.0255,243,392,13,6,1,146.04,0.0251,64,0.6023,160
116,1,2025-10-04,55,1155,0.0344,246,165,14,3,1,193.33,0.0704,66,0.7669,81
117,1,2025-10-03,52,1508,0.0317,303,208,9,4,1,168.28,0.0253,62,0.2693,84
118,1,2025-10-02,63,1575,0.0264,354,441,11,8,1,169.8,0.0295,63,0.5115,31
119,1,2025-10-01,74,1554,0.0372,574,296,20,4,2,281.6,0.0557,42,0.6739,74
120,1,2025-09-30,55,990,0.0346,239,110,13,3,1,194.47,0.0194,20,0.4844,224
121,1,2025-09-29,61,1769,0.0335,433,305,14,4,2,209.1,0.0601,78,0.2648,289
122,1,2025-09-28,65,975,0.0274,190,260,16,3,1,182.01,0.0134,54,0.7917,269
123,1,2025-09-27,67,1809,0.0327,130,134,10,5,2,223.98,0.0702,73,0.4038,42
124,1,2025-09-26,62,1240,0.0268,592,372,12,3,1,169.83,0.0794,24,0.5208,65
125,1,2025-09-25,55,935,0.0306,77,330,8,4,1,172.05,0.0324,58,0.3187,172
126,1,2025-09-24,52,884,0.0366,376,416,11,5,1,194.58,0.0442,28,0.7772,103
127,1,2025-09-23,57,912,0.0336,356,171,6,5,1,195.57,0.0323,46,0.815,292
128,1,2025-09-22,59,1416,0.037,117,177,11,4,2,223.15,0.0526,67,0.6008,113
129,1,2025-09-21,60,1260,0.0357,59,480,12,6,2,219.18,0.0102,59,0.7424,19
130,1,2025-09-20,53,1378,0.0363,487,106,5,7,1,196.49,0.0611,56,0.3508,39
131,1,2025-09-19,61,1098,0.0346,179,305,16,5,2,215.58,0.0289,31,0.2408,65
132,1,2025-09-18,52,780,0.028,162,364,15,5,1,148.97,0.0578,53,0.67,214
133,1,2025-09-17,58,1624,0.0332,232,522,13,8,1,196.69,0.0511,47,0.3401,279
134,1,2025-09-16,55,1210,0.0334,57,275,5,3,1,187.98,0.0641,39,0.2257,224
135,1,2025-09-15,64,1088,0.0292,529,320,16,6,1,190.89,0.0144,71,0.2771,299
136,1,2025-09-14,64,1600,0.0303,146,512,10,7,1,198.17,0.047,64,0.4527,283
137,1,2025-09-13,50,1400,0.0264,399,250,11,7,1,135.1,0.0247,26,0.81,280
138,1,2025-09-12,59,1534,0.0291,88,413,9,3,1,175.67,0.0494,39,0.4779,25
139,1,2025-09-11,57,855,0.034,252,513,7,4,1,198.07,0.0764,37,0.3463,200
140,1,2025-09-10,61,1342,0.0321,344,244,11,4,1,200.02,0.0638,70,0.6709,146
141,1,2025-09-09,53,1537,0.0323,538,212,8,7,1,174.76,0.024,21,0.2242,285
142,1,2025-09-08,60,1380,0.0247,76,300,12,5,1,151.41,0.0162,33,0.8733,201
143,1,2025-09-07,53,1431,0.0309,391,265,14,3,1,167.51,0.0411,69,0.533,213
144,1,2025-09-06,56,1568,0.0287,332,168,9,2,1,164.17,0.0289,42,0.4442,191
145,1,2025-09-05,61,1586,0.0345,189,427,7,7,2,215.11,0.0396,33,0.2494,229
146,1,2025-09-04,59,1180,0.0331,313,354,14,4,1,199.48,0.0489,42,0.2463,40
147,1,2025-09-03,57,1539,0.0246,74,228,14,4,1,143.56,0.0282,26,0.7347,231
148,1,2025-09-02,54,1458,0.0275,446,216,10,3,1,151.93,0.0245,32,0.6363,81
149,1,2025-09-01,63,1827,0.0248,282,504,13,4,1,159.61,0.0652,44,0.8281,222
150,1,2025-08-31,46,1242,0.0321,519,368,5,4,1,150.96,0.0509,70,0.7835,219
151,1,2025-08-30,61,1342,0.0288,561,122,15,8,1,179.69,0.0622,28,0.4255,209
152,1,2025-08-29,56,1176,0.0323,244,336,15,3,1,184.72,0.01,47,0.3668,99
153,1,2025-08-28,50,1400,0.032,572,300,6,5,1,163.27,0.0246,77,0.7395,121
154,1,2025-08-27,47,1175,0.0326,546,94,10,3,1,156.67,0.0717,37,0.7239,249
155,1,2025-08-26,46,1012,0.0262,460,92,5,6,1,123.34,0.0151,31,0.5633,71
156,1,2025-08-25,45,1125,0.0241,154,360,7,5,1,110.88,0.0178,39,0.3557,149
157,1,2025-08-24,49,931,0.0321,481,343,10,5,1,160.72,0.0553,46,0.6617,20
158,1,2025-08-23,52,1404,0.0247,272,312,8,3,1,131.0,0.022,64,0.6892,33
159,1,2025-08-22,45,1170,0.0329,34,405,8,2,1,151.46,0.0373,52,0.8848,235
160,1,2025-08-21,49,1127,0.0223,513,441,6,6,1,111.82,0.0491,62,0.7078,240
161,1,2025-08-20,56,1064,0.0223,501,112,15,5,1,127.37,0.0723,23,0.648,31
162,1,2025-08-19,54,1026,0.0275,205,324,15,6,1,151.63,0.0787,25,0.3825,165
163,1,2025-08-18,51,1275,0.0305,252,459,6,7,1,158.76,0.0671,54,0.4029,19
164,1,2025-08-17,50,900,0.0328,570,150,13,2,1,167.37,0.0481,59,0.4669,190
165,1,2025-08-16,58,1566,0.0267,87,348,9,8,1,158.14,0.0158,62,0.8454,92
166,1,2025-08-15,49,1323,0.0267,493,343,11,3,1,133.61,0.0489,35,0.4222,244
167,1,2025-08-14,58,1160,0.0236,536,406,16,5,1,140.09,0.0391,66,0.3547,71
168,1,2025-08-13,44,968,0.031,301,396,5,4,1,139.35,0.0194,31,0.2204,203
169,1,2025-08-12,40,960,0.0319,166,160,9,4,1,130.23,0.0435,31,0.8522,249
170,1,2025-08-11,54,1296,0.0314,142,378,10,3,1,173.41,0.0323,79,0.4063,120
171,1,2025-08-10,56,1288,0.0294,364,280,5,2,1,168.2,0.0567,51,0.5065,267
172,1,2025-08-09,42,1008,0.0295,109,252,6,5,1,126.47,0.0577,22,0.608,264
173,1,2025-08-08,58,1276,0.0251,398,290,15,3,1,148.62,0.0527,44,0.8755,194
174,1,2025-08-07,49,784,0.0277,44,147,12,3,1,138.52,0.0197,62,0.5277,11
175,1,2025-08-06,49,1372,0.0264,85,98,7,3,1,132.14,0.0676,60,0.6106,267
176,1,2025-08-05,54,972,0.0234,584,270,14,4,1,129.35,0.0529,46,0.7417,280
177,1,2025-08-04,47,1081,0.0233,328,94,11,2,1,111.73,0.074,62,0.5697,155
178,1,2025-08-03,55,880,0.0251,73,385,14,6,1,140.92,0.0597,46,0.68,196
179,1,2025-08-02,36,792,0.0215,165,324,6,5,0,79.23,0.0723,32,0.3958,8
180,1,2025-08-01,41,1107,0.0231,102,82,5,4,0,96.58,0.0317,59,0.3255,177
181,1,2025-07-31,52,1040,0.0219,90,156,9,3,1,116.57,0.0137,45,0.2729,77
182,1,2025-07-30,49,1029,0.0212,357,392,7,6,1,106.09,0.0235,35,0.3135,283
183,1,2025-07-29,42,672,0.0204,522,126,4,5,0,87.6,0.0435,28,0.3713,30
184,1,2025-07-28,47,1081,0.0296,251,235,13,3,1,142.11,0.0549,44,0.8751,285
185,1,2025-07-27,43,1075,0.0218,216,129,4,5,0,95.6,0.0682,67,0.7664,75
186,1,2025-07-26,38,874,0.0287,83,76,9,5,1,111.59,0.0572,44,0.4994,56
187,1,2025-07-25,45,855,0.0256,354,270,8,6,1,117.67,0.0764,38,0.6615,18
188,1,2025-07-24,42,672,0.0234,64,294,5,2,0,100.47,0.0559,22,0.3841,20
189,1,2025-07-23,49,1323,0.0286,154,441,10,4,1,143.07,0.0354,32,0.3147,53
190,1,2025-07-22,44,792,0.0196,423,352,10,5,0,88.1,0.0319,78,0.7806,69
191,1,2025-07-21,41,1066,0.0229,562,328,6,3,0,95.8,0.0678,24,0.6269,170
192,1,2025-07-20,46,920,0.0252,261,184,9,3,1,118.56,0.0254,42,0.2122,104
193,1,2025-07-19,49,735,0.0212,524,196,8,4,1,106.37,0.0634,67,0.5866,106
194,1,2025-07-18,50,1400,0.0217,234,350,11,5,1,110.89,0.0678,73,0.6164,165
195,1,2025-07-17,44,1012,0.0249,415,176,11,5,1,111.86,0.016,21,0.6849,209
196,1,2025-07-16,39,858,0.023,372,351,9,2,0,91.78,0.0628,57,0.3513,96
197,1,2025-07-15,44,1056,0.0263,577,132,12,3,1,118.17,0.0264,44,0.4774,157
198,1,2025-07-14,45,1035,0.0264,512,225,11,4,1,121.22,0.0683,38,0.6956,280
199,1,2025-07-13,44,968,0.0219,323,132,10,2,0,98.44,0.0795,28,0.289,30
200,1,2025-07-12,41,943,0.0229,85,287,10,2,0,95.93,0.0493,55,0.5776,31
201,1,2025-07-11,35,665,0.0234,343,105,8,4,0,83.75,0.0573,69,0.5921,207
202,1,2025-07-10,50,1400,0.0187,318,250,6,4,0,95.48,0.0156,41,0.2072,35
203,1,2025-07-09,43,688,0.0185,503,387,12,4,0,81.5,0.017,58,0.5412,146
204,1,2025-07-08,40,1120,0.0246,83,120,6,3,0,100.4,0.0341,28,0.5065,169
205,1,2025-07-07,48,768,0.0224,174,240,11,4,1,109.67,0.0334,68,0.5173,23
206,1,2025-07-06,43,817,0.0253,271,301,7,5,1,111.1,0.0623,36,0.8163,71
207,1,2025-07-05,44,1232,0.0244,312,220,6,5,1,109.75,0.0322,65,0.2012,34
208,1,2025-07-04,43,1247,0.0199,313,344,10,4,0,87.66,0.0173,66,0.2406,198
209,1,2025-07-03,38,760,0.0205,429,266,7,5,0,79.43,0.0695,63,0.7381,108
210,1,2025-07-02,41,738,0.0232,426,369,10,4,0,97.01,0.026,60,0.3291,211
211,1,2025-07-01,46,1104,0.0224,394,138,11,6,1,105.26,0.053,53,0.4674,127
212,1,2025-06-30,37,814,0.0228,109,222,5,3,0,86.02,0.0162,58,0.8824,112
213,1,2025-06-29,48,1344,0.024,131,336,5,4,1,117.82,0.0236,24,0.85,51
214,1,2025-06-28,37,777,0.0194,271,222,7,3,0,73.5,0.0448,46,0.2211,201
215,1,2025-06-27,41,902,0.0179,208,369,8,5,0,75.06,0.0789,24,0.2883,54
216,1,2025-06-26,35,770,0.0206,43,70,10,2,0,73.65,0.0363,40,0.6871,56
217,1,2025-06-25,36,936,0.0208,379,144,6,3,0,76.59,0.0272,68,0.8578,239
218,1,2025-06-24,38,912,0.0175,110,304,8,3,0,67.95,0.0794,39,0.2991,106
219,1,2025-06-23,39,858,0.0242,189,156,5,5,0,96.29,0.0698,24,0.6277,62
220,1,2025-06-22,40,720,0.0209,409,280,7,4,0,85.37,0.0292,62,0.5058,166
221,1,2025-06-21,36,612,0.0186,302,324,7,3,0,68.46,0.026,37,0.5956,148
222,1,2025-06-20,40,760,0.023,318,160,11,3,0,94.04,0.0572,62,0.2544,119
223,1,2025-06-19,44,1188,0.0231,584,88,4,5,1,103.96,0.0427,48,0.4187,73
224,1,2025-06-18,41,697,0.0176,571,205,8,5,0,73.59,0.0603,54,0.6604,270
225,1,2025-06-17,33,693,0.0178,545,297,3,2,0,59.96,0.0727,26,0.5348,135
226,1,2025-06-16,36,756,0.0225,544,288,8,4,0,82.63,0.0365,24,0.6074,66
227,1,2025-06-15,33,693,0.0199,38,264,7,1,0,67.17,0.0611,28,0.2057,275
228,1,2025-06-14,39,1131,0.0233,524,117,5,3,0,92.72,0.0592,49,0.6065,27
229,1,2025-06-13,42,1176,0.0204,60,168,6,3,0,87.66,0.0162,42,0.8458,158
230,1,2025-06-12,36,1008,0.0224,589,108,5,2,0,82.43,0.0627,47,0.439,296
231,1,2025-06-11,37,962,0.0178,215,259,10,5,0,67.19,0.0305,50,0.8986,12
232,1,2025-06-10,38,684,0.0182,234,266,7,2,0,70.69,0.0512,71,0.2179,239
233,1,2025-06-09,38,988,0.0169,400,266,5,5,0,65.77,0.039,77,0.2877,285
234,1,2025-06-08,42,1218,0.0166,35,126,10,2,0,71.27,0.0493,20,0.2409,261
235,1,2025-06-07,36,612,0.0222,579,252,4,4,0,81.69,0.0707,69,0.257,178
236,1,2025-06-06,42,1008,0.0227,217,336,7,5,0,97.22,0.0296,48,0.3844,203
237,1,2025-06-05,36,1044,0.0211,120,252,7,5,0,77.54,0.0646,72,0.3521,216
238,1,2025-06-04,38,722,0.017,375,152,5,5,0,65.87,0.0236,27,0.8491,194
239,1,2025-06-03,29,812,0.0202,556,58,3,4,0,59.79,0.0154,28,0.3881,238
240,1,2025-06-02,37,666,0.0169,530,222,4,4,0,63.77,0.0674,55,0.7168,73
241,1,2025-06-01,33,693,0.0165,478,132,7,2,0,55.69,0.019,49,0.4611,181
242,1,2025-05-31,36,540,0.0158,542,252,8,4,0,58.19,0.0418,25,0.6526,106
243,1,2025-05-30,28,756,0.0211,315,252,8,1,0,60.41,0.0756,79,0.7138,66
244,1,2025-05-29,35,945,0.0179,198,280,10,1,0,64.05,0.045,20,0.8353,52
245,1,2025-05-28,34,748,0.019,338,272,5,2,0,66.07,0.0519,44,0.4706,24
246,1,2025-05-27,36,612,0.0195,260,144,8,4,0,71.74,0.0741,36,0.4871,95
247,1,2025-05-26,28,644,0.0156,109,84,5,2,0,44.6,0.0244,42,0.5048,130
248,1,2025-05-25,32,544,0.0217,347,128,3,2,0,71.11,0.0724,20,0.4781,63
249,1,2025-05-24,37,814,0.0195,422,333,8,2,0,73.58,0.0137,58,0.8773,193
250,1,2025-05-23,29,638,0.0181,39,203,5,1,0,53.7,0.0564,41,0.7039,219
251,1,2025-05-22,35,980,0.0148,556,70,9,3,0,52.96,0.0513,21,0.8544,67
252,1,2025-05-21,32,704,0.0145,390,288,7,4,0,47.39,0.0575,74,0.7393,134
253,1,2025-05-20,34,714,0.0197,352,68,8,2,0,68.52,0.0273,34,0.2263,42
254,1,2025-05-19,35,630,0.0166,596,70,6,1,0,59.32,0.0411,30,0.5933,270
255,1,2025-05-18,28,588,0.0171,205,252,6,4,0,48.8,0.0298,68,0.5863,49
256,1,2025-05-17,36,864,0.0161,411,72,7,2,0,59.09,0.0587,26,0.2923,270
257,1,2025-05-16,34,612,0.0208,360,102,7,4,0,72.28,0.0135,21,0.3061,33
258,1,2025-05-15,29,464,0.0165,278,203,4,3,0,48.81,0.0788,29,0.4637,158
259,1,2025-05-14,34,748,0.0166,243,272,10,3,0,57.7,0.0594,56,0.4169,283
260,1,2025-05-13,32,928,0.0155,165,224,9,3,0,50.79,0.0196,60,0.6949,292
261,1,2025-05-12,41,1066,0.0196,507,164,5,4,0,82.24,0.0593,20,0.7919,107
262,1,2025-05-11,28,672,0.0173,368,196,6,3,0,49.43,0.0654,58,0.403,235
263,1,2025-05-10,26,390,0.0196,583,234,7,1,0,52.2,0.0153,57,0.2801,155
264,1,2025-05-09,30,780,0.0208,87,210,7,2,0,63.66,0.0362,43,0.5723,24
265,1,2025-05-08,32,544,0.0152,75,128,3,3,0,49.55,0.0345,60,0.7799,118
266,1,2025-05-07,28,588,0.0198,494,224,5,3,0,56.75,0.0124,52,0.4608,84
267,1,2025-05-06,31,899,0.0149,433,186,5,1,0,47.12,0.0247,28,0.2393,227
268,1,2025-05-05,36,972,0.02,587,108,5,4,0,73.71,0.0399,38,0.3384,233
269,1,2025-05-04,35,945,0.0163,60,280,6,2,0,58.22,0.0727,29,0.4146,159
270,1,2025-05-03,31,744,0.015,58,155,7,3,0,47.43,0.0126,61,0.4974,8
271,1,2025-05-02,32,480,0.0186,320,128,8,1,0,60.81,0.0763,59,0.7265,266
272,1,2025-05-01,33,957,0.0184,190,66,9,2,0,61.97,0.0186,67,0.7944,36
273,1,2025-04-30,32,928,0.0182,376,256,6,1,0,59.37,0.0378,38,0.6867,240
274,1,2025-04-29,34,884,0.0178,524,204,3,3,0,61.85,0.0447,57,0.7853,106
275,1,2025-04-28,32,672,0.015,242,64,5,4,0,49.05,0.0545,70,0.4013,210
276,1,2025-04-27,34,782,0.0194,180,136,8,4,0,67.37,0.0369,70,0.4863,142
277,1,2025-04-26,34,952,0.0188,310,102,9,2,0,65.43,0.0337,43,0.7057,36
278,1,2025-04-25,35,560,0.0162,284,245,3,5,0,58.04,0.0417,27,0.2523,175
279,1,2025-04-24,29,464,0.0157,470,203,6,2,0,46.59,0.0513,68,0.7636,150
280,1,2025-04-23,34,952,0.0192,31,68,5,1,0,66.57,0.0681,28,0.2859,144
281,1,2025-04-22,34,952,0.0168,89,68,5,1,0,58.51,0.0132,55,0.7249,111
282,1,2025-04-21,36,972,0.0185,336,216,4,2,0,68.12,0.0645,75,0.4313,224
283,1,2025-04-20,35,1015,0.0188,167,70,3,2,0,67.2,0.0764,75,0.3199,292
284,1,2025-04-19,33,627,0.0159,348,198,8,2,0,53.63,0.0401,29,0.5449,183
285,1,2025-04-18,27,756,0.0159,347,243,3,2,0,43.88,0.0185,42,0.4003,110
286,1,2025-04-17,33,726,0.0201,229,66,4,3,0,67.63,0.0442,59,0.822,164
