metric_id,product_id,metric_date,dau,mau,conversion_rate,avg_session_duration,page_views,add_to_cart,checkout_initiated,purchases,revenue,refund_rate,nps_score,feature_adoption_rate,time_to_first_action
40,1,2026-01-19,50,750,0.0314,178,450,14,2,1,160.21,0.0547,21,0.2577,146
41,1,2026-01-18,52,780,0.039,72,312,15,4,2,207.4,0.0109,64,0.5854,75
42,1,2026-01-17,49,735,0.0315,216,245,9,5,1,157.56,0.0618,25,0.2464,57
43,1,2026-01-16,51,1275,0.0344,335,408,7,3,1,179.2,0.078,45,0.8092,250
44,1,2026-01-15,58,928,0.0379,139,174,8,3,2,224.49,0.041,21,0.5427,268
45,1,2026-01-14,54,1242,0.0363,53,324,6,5,1,200.48,0.0669,31,0.2873,137
46,1,2026-01-13,46,1150,0.0382,509,276,8,3,1,179.42,0.0179,49,0.3959,145
47,1,2026-01-12,48,816,0.0344,45,336,9,3,1,168.52,0.0609,24,0.8473,186
48,1,2026-01-11,50,1350,0.0311,489,300,11,2,1,158.71,0.0564,51,0.7097,208
49,1,2026-01-10,38,760,0.0418,594,342,4,2,1,162.48,0.0454,57,0.4549,90
50,1,2026-01-09,42,882,0.0411,410,252,4,2,1,176.54,0.0113,43,0.3099,27
51,1,2026-01-08,53,1325,0.0425,430,212,12,3,2,230.26,0.0624,70,0.6773,51
52,1,2026-01-07,59,1416,0.0368,342,472,15,5,2,221.71,0.0492,64,0.5738,189
53,1,2026-01-06,55,1540,0.0312,562,495,5,7,1,175.24,0.0192,45,0.4676,9
54,1,2026-01-05,48,1152,0.0309,111,336,10,2,1,151.53,0.061,68,0.4182,41
55,1,2026-01-04,63,1197,0.0341,540,378,8,5,2,219.56,0.0588,28,0.2274,178
56,1,2026-01-03,50,850,0.0379,563,350,7,5,1,193.88,0.0455,55,0.661,134
57,1,2026-01-02,50,800,0.0306,243,350,12,5,1,156.41,0.0251,64,0.6023,160
58,1,2026-01-01,49,1029,0.0414,246,147,13,3,2,207.42,0.0704,66,0.7669,81
59,1,2025-12-31,47,1363,0.0383,303,188,8,4,1,183.88,0.0253,62,0.2693,84
60,1,2025-12-30,57,1425,0.032,354,399,10,7,1,186.46,0.0295,63,0.5115,31
61,1,2025-12-29,67,1407,0.0454,574,268,18,4,3,310.66,0.0557,42,0.6739,74
62,1,2025-12-28,50,900,0.0423,239,100,11,3,2,216.25,0.0194,20,0.4844,224
63,1,2025-12-27,56,1624,0.0412,433,280,13,4,2,235.74,0.0601,78,0.2648,289
64,1,2025-12-26,59,885,0.0338,190,236,15,3,1,203.68,0.0134,54,0.7917,269
65,1,2025-12-25,62,1674,0.0405,130,124,9,5,2,256.52,0.0702,73,0.4038,42
66,1,2025-12-24,58,1160,0.0333,592,348,11,3,1,197.4,0.0794,24,0.5208,65
67,1,2025-12-23,51,867,0.0382,77,306,8,4,1,199.01,0.0324,58,0.3187,172
68,1,2025-12-22,49,833,0.0459,376,392,10,5,2,229.62,0.0442,28,0.7772,103
69,1,2025-12-21,53,848,0.0422,356,159,6,5,2,228.62,0.0323,46,0.815,292
70,1,2025-12-20,55,1320,0.0467,117,165,10,3,2,262.55,0.0526,67,0.6008,113
71,1,2025-12-19,56,1176,0.0453,59,448,11,6,2,259.19,0.0102,59,0.7424,19
72,1,2025-12-18,50,1300,0.0461,487,100,5,6,2,235.79,0.0611,56,0.3508,39
73,1,2025-12-17,58,1044,0.0442,179,290,15,5,2,261.75,0.0289,31,0.2408,65
74,1,2025-12-16,50,750,0.0359,162,350,14,5,1,183.63,0.0578,53,0.67,214
75,1,2025-12-15,56,1568,0.0427,232,504,13,7,2,244.4,0.0511,47,0.3401,279
76,1,2025-12-14,53,1166,0.0432,57,265,5,2,2,234.03,0.0641,39,0.2257,224
77,1,2025-12-13,62,1054,0.0379,529,310,16,5,2,239.84,0.0144,71,0.2771,299
78,1,2025-12-12,62,1550,0.0395,146,496,9,7,2,249.95,0.047,64,0.4527,283
79,1,2025-12-11,49,1372,0.0346,399,245,11,7,1,173.05,0.0247,26,0.81,280
80,1,2025-12-10,58,1508,0.0382,88,406,8,3,2,226.59,0.0494,39,0.4779,25
81,1,2025-12-09,56,840,0.0448,252,504,7,4,2,256.31,0.0764,37,0.3463,200
82,1,2025-12-08,60,1320,0.0424,344,240,10,4,2,260.14,0.0638,70,0.6709,146
83,1,2025-12-07,53,1537,0.0428,538,212,8,7,2,231.96,0.024,21,0.2242,285
84,1,2025-12-06,60,1380,0.0329,76,300,12,5,1,201.74,0.0162,33,0.8733,201
85,1,2025-12-05,53,1431,0.0414,391,265,14,3,2,224.04,0.0411,69,0.533,213
86,1,2025-12-04,56,1568,0.0385,332,168,9,2,2,220.42,0.0289,42,0.4442,191
87,1,2025-12-03,61,1586,0.0465,189,427,7,7,2,289.91,0.0396,33,0.2494,229
88,1,2025-12-02,59,1180,0.0448,313,354,14,4,2,269.87,0.0489,42,0.2463,40
89,1,2025-12-01,58,1566,0.0335,74,232,15,4,1,198.37,0.0282,26,0.7347,231
90,1,2025-11-30,55,1485,0.0375,446,220,11,3,2,210.93,0.0245,32,0.6363,81
91,1,2025-11-29,64,1856,0.0339,282,512,13,4,2,221.85,0.0652,44,0.8281,222
92,1,2025-11-28,47,1269,0.0441,519,376,5,5,2,211.83,0.0509,70,0.7835,219
93,1,2025-11-27,62,1364,0.0397,561,124,15,8,2,251.76,0.0622,28,0.4255,209
94,1,2025-11-26,58,1218,0.0447,244,348,16,3,2,264.71,0.01,47,0.3668,99
95,1,2025-11-25,52,1456,0.0444,572,312,6,5,2,235.81,0.0246,77,0.7395,121
96,1,2025-11-24,49,1225,0.0455,546,98,10,3,2,227.67,0.0717,37,0.7239,249
97,1,2025-11-23,48,1056,0.0367,460,96,5,6,1,180.06,0.0151,31,0.5633,71
98,1,2025-11-22,47,1175,0.0339,154,376,7,5,1,162.61,0.0178,39,0.3557,149
99,1,2025-11-21,51,969,0.0452,481,357,10,6,2,235.74,0.0553,46,0.6617,20
100,1,2025-11-20,55,1485,0.0349,272,330,8,3,1,195.97,0.022,64,0.6892,33
101,1,2025-11-19,47,1222,0.0468,34,423,8,2,2,224.55,0.0373,52,0.8848,235
102,1,2025-11-18,52,1196,0.0318,513,468,7,6,1,169.06,0.0491,62,0.7078,240
103,1,2025-11-17,60,1140,0.0318,501,120,16,6,1,195.11,0.0723,23,0.648,31
104,1,2025-11-16,57,1083,0.0394,205,342,16,6,2,229.64,0.0787,25,0.3825,165
105,1,2025-11-15,54,1350,0.0439,252,486,6,7,2,242.04,0.0671,54,0.4029,19
106,1,2025-11-14,54,972,0.0473,570,162,14,3,2,261.19,0.0481,59,0.4669,190
107,1,2025-11-13,63,1701,0.0387,87,378,10,9,2,249.07,0.0158,62,0.8454,92
108,1,2025-11-12,53,1431,0.0388,493,371,12,3,2,210.27,0.0489,35,0.4222,244
109,1,2025-11-11,63,1260,0.0345,536,441,18,5,2,222.17,0.0391,66,0.3547,71
110,1,2025-11-10,48,1056,0.0454,301,432,5,4,2,222.71,0.0194,31,0.2204,203
111,1,2025-11-09,44,1056,0.0468,166,176,10,4,2,210.59,0.0435,31,0.8522,249
112,1,2025-11-08,60,1440,0.0464,142,420,11,3,2,284.2,0.0323,79,0.4063,120
113,1,2025-11-07,61,1403,0.0435,364,305,6,3,2,271.15,0.0567,51,0.5065,267
114,1,2025-11-06,46,1104,0.0438,109,276,6,6,2,205.68,0.0577,22,0.608,264
115,1,2025-11-05,65,1430,0.0374,398,325,17,3,2,248.13,0.0527,44,0.8755,194
116,1,2025-11-04,54,864,0.0413,44,162,14,3,2,228.17,0.0197,62,0.5277,11
117,1,2025-11-03,55,1540,0.0396,85,110,8,3,2,222.4,0.0676,60,0.6106,267
118,1,2025-11-02,60,1080,0.0353,584,300,15,5,2,216.2,0.0529,46,0.7417,280
119,1,2025-11-01,52,1196,0.0351,328,104,12,3,1,186.54,0.074,62,0.5697,155
120,1,2025-10-31,62,992,0.038,73,434,16,7,2,240.47,0.0597,46,0.68,196
121,1,2025-10-30,40,880,0.0327,165,360,7,5,1,133.69,0.0723,32,0.3958,8
122,1,2025-10-29,46,1242,0.0351,102,92,6,5,1,165.06,0.0317,59,0.3255,177
123,1,2025-10-28,59,1180,0.0335,90,177,10,3,1,202.07,0.0137,45,0.2729,77
124,1,2025-10-27,56,1176,0.0325,357,448,8,7,1,185.81,0.0235,35,0.3135,283
125,1,2025-10-26,48,768,0.0314,522,144,5,6,1,153.86,0.0435,28,0.3713,30
126,1,2025-10-25,54,1242,0.0456,251,270,15,4,2,251.69,0.0549,44,0.8751,285
127,1,2025-10-24,50,1250,0.0336,216,150,5,5,1,171.86,0.0682,67,0.7664,75
128,1,2025-10-23,44,1012,0.0446,83,88,10,6,1,200.32,0.0572,44,0.4994,56
129,1,2025-10-22,52,988,0.0398,354,312,9,7,2,211.39,0.0764,38,0.6615,18
130,1,2025-10-21,49,784,0.0365,64,343,6,2,1,182.74,0.0559,22,0.3841,20
131,1,2025-10-20,58,1566,0.0447,154,522,12,5,2,264.74,0.0354,32,0.3147,53
132,1,2025-10-19,52,936,0.0307,423,416,12,5,1,163.2,0.0319,78,0.7806,69
133,1,2025-10-18,48,1248,0.0359,562,384,7,4,1,176.27,0.0678,24,0.6269,170
134,1,2025-10-17,54,1080,0.0397,261,216,11,4,2,219.3,0.0254,42,0.2122,104
135,1,2025-10-16,58,870,0.0336,524,232,10,5,1,198.9,0.0634,67,0.5866,106
136,1,2025-10-15,59,1652,0.0344,234,413,13,6,2,207.22,0.0678,73,0.6164,165
137,1,2025-10-14,52,1196,0.0395,415,208,13,6,2,209.87,0.016,21,0.6849,209
138,1,2025-10-13,47,1034,0.0366,372,423,11,3,1,176.01,0.0628,57,0.3513,96
139,1,2025-10-12,53,1272,0.0419,577,159,15,4,2,227.04,0.0264,44,0.4774,157
140,1,2025-10-11,54,1242,0.0421,512,270,13,4,2,232.57,0.0683,38,0.6956,280
141,1,2025-10-10,53,1166,0.0351,323,159,12,3,1,190.0,0.0795,28,0.289,30
142,1,2025-10-09,49,1127,0.0368,85,343,12,3,1,184.11,0.0493,55,0.5776,31
143,1,2025-10-08,43,817,0.0377,343,129,10,5,1,165.58,0.0573,69,0.5921,207
144,1,2025-10-07,60,1680,0.0301,318,300,8,5,1,184.76,0.0156,41,0.2072,35
145,1,2025-10-06,52,832,0.03,503,468,15,5,1,159.24,0.017,58,0.5412,146
146,1,2025-10-05,49,1372,0.0398,83,147,7,3,1,199.12,0.0341,28,0.5065,169
147,1,2025-10-04,58,928,0.0363,174,290,13,5,2,214.95,0.0334,68,0.5173,23
148,1,2025-10-03,53,1007,0.0411,271,371,8,6,2,222.51,0.0623,36,0.8163,71
149,1,2025-10-02,53,1484,0.0397,312,265,8,6,2,215.19,0.0322,65,0.2012,34
150,1,2025-10-01,52,1508,0.0325,313,416,13,5,1,172.85,0.0173,66,0.2406,198
151,1,2025-09-30,47,940,0.0334,429,329,8,6,1,160.44,0.0695,63,0.7381,108
152,1,2025-09-29,50,900,0.0379,426,450,12,5,1,193.52,0.026,60,0.3291,211
153,1,2025-09-28,56,1344,0.0367,394,168,13,8,2,209.91,0.053,53,0.4674,127
154,1,2025-09-27,45,990,0.0373,109,270,7,4,1,171.62,0.0162,58,0.8824,112
155,1,2025-09-26,59,1652,0.0395,131,413,7,5,2,237.89,0.0236,24,0.85,51
156,1,2025-09-25,46,966,0.032,271,276,9,4,1,150.3,0.0448,46,0.2211,201
157,1,2025-09-24,50,1100,0.0295,208,450,10,6,1,150.73,0.0789,24,0.2883,54
158,1,2025-09-23,44,968,0.0339,43,88,12,3,1,152.62,0.0363,40,0.6871,56
159,1,2025-09-22,44,1144,0.0344,379,176,7,4,1,154.47,0.0272,68,0.8578,239
160,1,2025-09-21,46,1104,0.0289,110,368,10,3,1,135.86,0.0794,39,0.2991,106
161,1,2025-09-20,48,1056,0.0399,189,192,6,6,1,195.91,0.0698,24,0.6277,62
162,1,2025-09-19,50,900,0.0346,409,350,9,5,1,176.54,0.0292,62,0.5058,166
163,1,2025-09-18,44,748,0.0308,302,396,9,4,1,138.53,0.026,37,0.5956,148
164,1,2025-09-17,49,931,0.0381,318,196,13,4,1,190.83,0.0572,62,0.2544,119
165,1,2025-09-16,54,1458,0.0383,584,108,5,6,2,211.44,0.0427,48,0.4187,73
166,1,2025-09-15,51,867,0.0291,571,255,10,6,1,151.78,0.0603,54,0.6604,270
167,1,2025-09-14,41,861,0.0295,545,369,4,3,1,123.56,0.0727,26,0.5348,135
168,1,2025-09-13,44,924,0.0373,544,352,9,4,1,167.54,0.0365,24,0.6074,66
169,1,2025-09-12,41,861,0.033,38,328,9,2,1,138.46,0.0611,28,0.2057,275
170,1,2025-09-11,48,1392,0.0386,524,144,6,4,1,189.34,0.0592,49,0.6065,27
171,1,2025-09-10,52,1456,0.0339,60,208,7,4,1,180.06,0.0162,42,0.8458,158
172,1,2025-09-09,45,1260,0.0372,589,135,6,3,1,170.94,0.0627,47,0.439,296
173,1,2025-09-08,46,1196,0.0295,215,322,13,6,1,138.54,0.0305,50,0.8986,12
174,1,2025-09-07,47,846,0.0302,234,329,8,2,1,144.95,0.0512,71,0.2179,239
175,1,2025-09-06,47,1222,0.0281,400,329,6,6,1,134.81,0.039,77,0.2877,285
176,1,2025-09-05,52,1508,0.0275,35,156,12,3,1,146.16,0.0493,20,0.2409,261
177,1,2025-09-04,44,748,0.0368,579,308,5,5,1,165.25,0.0707,69,0.257,178
178,1,2025-09-03,52,1248,0.0375,217,416,9,7,1,199.08,0.0296,48,0.3844,203
179,1,2025-09-02,44,1276,0.0348,120,308,9,6,1,156.6,0.0646,72,0.3521,216
180,1,2025-09-01,47,893,0.028,375,188,6,6,1,134.5,0.0236,27,0.8491,194
181,1,2025-08-31,36,1008,0.0333,556,72,3,5,1,122.4,0.0154,28,0.3881,238
182,1,2025-08-30,46,828,0.0278,530,276,5,5,1,130.58,0.0674,55,0.7168,73
183,1,2025-08-29,41,861,0.0272,478,164,9,3,1,113.82,0.019,49,0.4611,181
184,1,2025-08-28,44,660,0.026,542,308,10,5,1,116.83,0.0418,25,0.6526,106
185,1,2025-08-27,35,945,0.0346,315,315,10,2,1,123.85,0.0756,79,0.7138,66
186,1,2025-08-26,43,1161,0.0293,198,344,12,2,1,128.85,0.045,20,0.8353,52
187,1,2025-08-25,41,902,0.0311,338,328,6,2,1,130.22,0.0519,44,0.4706,24
188,1,2025-08-24,44,748,0.0318,260,176,9,6,1,143.03,0.0741,36,0.4871,95
189,1,2025-08-23,34,782,0.0254,109,102,6,3,0,88.18,0.0244,42,0.5048,130
190,1,2025-08-22,39,663,0.0353,347,156,4,2,1,140.8,0.0724,20,0.4781,63
191,1,2025-08-21,45,990,0.0315,422,405,10,3,1,145.07,0.0137,58,0.8773,193
192,1,2025-08-20,34,748,0.0293,39,238,6,2,0,101.83,0.0564,41,0.7039,219
193,1,2025-08-19,43,1204,0.0239,556,86,11,4,1,104.97,0.0513,21,0.8544,67
194,1,2025-08-18,38,836,0.0233,390,342,8,5,0,90.55,0.0575,74,0.7393,134
195,1,2025-08-17,40,840,0.0316,352,80,9,2,1,129.36,0.0273,34,0.2263,42
196,1,2025-08-16,42,756,0.0265,596,84,7,2,1,113.91,0.0411,30,0.5933,270
197,1,2025-08-15,33,693,0.0272,205,297,7,4,0,91.77,0.0298,68,0.5863,49
198,1,2025-08-14,42,1008,0.0256,411,84,8,2,1,109.67,0.0587,26,0.2923,270
199,1,2025-08-13,40,720,0.033,360,120,8,5,1,134.83,0.0135,21,0.3061,33
200,1,2025-08-12,34,544,0.026,278,238,4,3,0,90.45,0.0788,29,0.4637,158
201,1,2025-08-11,40,880,0.0262,243,320,11,4,1,106.92,0.0594,56,0.4169,283
202,1,2025-08-10,38,1102,0.0244,165,266,11,4,0,94.67,0.0196,60,0.6949,292
203,1,2025-08-09,48,1248,0.0307,507,192,5,5,1,150.56,0.0593,20,0.7919,107
204,1,2025-08-08,32,768,0.0269,368,224,7,3,0,88.01,0.0654,58,0.403,235
205,1,2025-08-07,30,450,0.0305,583,270,8,2,0,93.47,0.0153,57,0.2801,155
206,1,2025-08-06,34,884,0.0321,87,238,8,2,1,111.52,0.0362,43,0.5723,24
207,1,2025-08-05,37,629,0.0233,75,148,4,4,0,88.19,0.0345,60,0.7799,118
208,1,2025-08-04,33,693,0.0304,494,264,6,3,1,102.53,0.0124,52,0.4608,84
209,1,2025-08-03,35,1015,0.0227,433,210,5,2,0,81.21,0.0247,28,0.2393,227
210,1,2025-08-02,41,1107,0.0304,587,123,6,5,1,127.56,0.0399,38,0.3384,233
211,1,2025-08-01,40,1080,0.0246,60,320,7,2,0,100.64,0.0727,29,0.4146,159
212,1,2025-07-31,35,840,0.0225,58,175,8,4,0,80.63,0.0126,61,0.4974,8
213,1,2025-07-30,36,540,0.0279,320,144,9,1,1,102.51,0.0763,59,0.7265,266
214,1,2025-07-29,37,1073,0.0274,190,74,10,3,1,103.61,0.0186,67,0.7944,36
215,1,2025-07-28,36,1044,0.0269,376,288,7,2,0,99.11,0.0378,38,0.6867,240
216,1,2025-07-27,37,962,0.0263,524,222,4,4,0,99.37,0.0447,57,0.7853,106
217,1,2025-07-26,35,735,0.022,242,70,6,4,0,78.8,0.0545,70,0.4013,210
218,1,2025-07-25,37,851,0.0283,180,148,9,4,1,107.13,0.0369,70,0.4863,142
219,1,2025-07-24,37,1036,0.0274,310,111,10,3,1,103.48,0.0337,43,0.7057,36
220,1,2025-07-23,37,592,0.0235,284,259,4,5,0,88.68,0.0417,27,0.2523,175
221,1,2025-07-22,31,496,0.0226,470,217,6,2,0,71.59,0.0513,68,0.7636,150
222,1,2025-07-21,36,1008,0.0274,31,72,6,1,0,100.75,0.0681,28,0.2859,144
223,1,2025-07-20,36,1008,0.0239,89,72,6,1,0,88.06,0.0132,55,0.7249,111
224,1,2025-07-19,37,999,0.0262,336,222,4,2,0,98.93,0.0645,75,0.4313,224
225,1,2025-07-18,36,1044,0.0264,167,72,3,2,0,97.1,0.0764,75,0.3199,292
226,1,2025-07-17,34,646,0.0222,348,204,8,2,0,77.17,0.0401,29,0.5449,183
227,1,2025-07-16,28,784,0.0221,347,252,3,2,0,63.17,0.0185,42,0.4003,110
228,1,2025-07-15,34,748,0.0277,229,68,4,3,0,96.14,0.0442,59,0.822,164
229,1,2025-07-14,30,780,0.0203,563,180,6,3,0,62.31,0.0207,72,0.6233,174
230,1,2025-07-13,38,1026,0.0208,133,114,9,2,0,80.64,0.0366,35,0.6242,286
231,1,2025-07-12,40,1080,0.0261,488,160,9,5,1,106.53,0.0108,31,0.7178,237
232,1,2025-07-11,29,551,0.0191,524,203,3,1,0,56.69,0.063,45,0.431,101
233,1,2025-07-10,27,675,0.0203,94,108,7,3,0,55.9,0.0236,22,0.7825,271
234,1,2025-07-09,30,480,0.023,229,90,6,2,0,70.46,0.014,55,0.2394,99
235,1,2025-07-08,30,480,0.0214,279,210,8,2,0,65.69,0.0763,77,0.3046,50
236,1,2025-07-07,36,1008,0.0265,61,72,9,2,0,97.48,0.0113,77,0.3561,189
237,1,2025-07-06,34,714,0.0274,292,272,5,3,0,95.03,0.0236,55,0.7245,23
238,1,2025-07-05,35,945,0.0189,365,315,9,4,0,67.42,0.0193,72,0.325,167
239,1,2025-07-04,31,651,0.0204,116,217,6,3,0,64.72,0.0184,48,0.4026,78
240,1,2025-07-03,26,754,0.0229,518,182,4,1,0,60.9,0.0607,53,0.3755,173
241,1,2025-07-02,41,861,0.0216,478,369,6,2,0,90.58,0.0552,71,0.3288,24
242,1,2025-07-01,32,928,0.0204,129,160,8,1,0,66.59,0.0432,32,0.6725,24
243,1,2025-06-30,33,561,0.0252,282,99,8,2,0,84.94,0.0552,47,0.4597,82
244,1,2025-06-29,30,720,0.0232,296,180,5,4,0,71.14,0.0769,52,0.8138,104
245,1,2025-06-28,32,576,0.0264,425,192,3,4,0,86.38,0.0578,23,0.5963,241
246,1,2025-06-27,30,780,0.0215,327,240,6,3,0,65.89,0.0254,22,0.6358,271
247,1,2025-06-26,31,589,0.0188,353,155,9,2,0,59.62,0.0143,26,0.2036,93
248,1,2025-06-25,28,616,0.0231,84,252,4,3,0,66.08,0.0695,66,0.4505,204
249,1,2025-06-24,29,725,0.0264,465,116,3,4,0,78.17,0.0755,54,0.582,260
250,1,2025-06-23,33,495,0.0196,350,132,5,4,0,66.06,0.0335,51,0.8744,249
251,1,2025-06-22,37,925,0.0247,129,111,8,2,0,93.5,0.0448,38,0.8395,29
252,1,2025-06-21,34,918,0.0261,70,204,6,4,0,90.73,0.0749,74,0.2832,137
253,1,2025-06-20,31,713,0.0181,504,93,5,2,0,57.25,0.0291,72,0.5439,289
254,1,2025-06-19,30,630,0.0219,231,240,5,3,0,67.21,0.0179,55,0.5223,287
255,1,2025-06-18,30,630,0.0179,596,120,3,4,0,54.75,0.0139,62,0.3536,289
256,1,2025-06-17,30,480,0.0208,43,210,4,2,0,63.75,0.0611,21,0.3515,227
257,1,2025-06-16,30,780,0.0179,155,270,6,4,0,55.01,0.0342,28,0.8407,242
258,1,2025-06-15,33,627,0.0233,129,99,7,2,0,78.58,0.0376,65,0.3838,160
259,1,2025-06-14,28,560,0.018,72,168,5,1,0,51.54,0.0332,73,0.7727,50
260,1,2025-06-13,30,570,0.0223,526,270,7,1,0,68.41,0.0792,71,0.6484,84
261,1,2025-06-12,33,594,0.0228,108,66,9,1,0,76.83,0.0513,46,0.4694,59
262,1,2025-06-11,32,608,0.025,324,64,4,2,0,81.8,0.0687,57,0.6487,129
263,1,2025-06-10,30,690,0.019,432,210,4,3,0,58.29,0.0298,57,0.8683,258
264,1,2025-06-09,33,858,0.0245,563,132,6,4,0,82.48,0.0523,37,0.5282,73
265,1,2025-06-08,32,832,0.0249,441,96,5,2,0,81.46,0.0716,43,0.2644,28
266,1,2025-06-07,35,700,0.0215,307,105,9,3,0,76.89,0.0523,58,0.8626,243
267,1,2025-06-06,27,729,0.0212,436,189,7,1,0,58.48,0.047,52,0.4094,167
268,1,2025-06-05,22,528,0.0228,140,154,5,2,0,51.32,0.0773,53,0.6538,151
269,1,2025-06-04,26,494,0.0238,543,182,6,1,0,63.28,0.032,78,0.4403,259
270,1,2025-06-03,34,850,0.0237,526,170,5,4,0,82.52,0.0458,49,0.4901,137
271,1,2025-06-02,24,648,0.0223,356,72,5,1,0,54.73,0.0294,23,0.8335,169
272,1,2025-06-01,27,594,0.0191,166,189,3,3,0,52.66,0.0421,26,0.7023,237
273,1,2025-05-31,26,416,0.023,146,208,5,3,0,61.05,0.0579,61,0.5638,18
274,1,2025-05-30,28,728,0.0224,558,112,4,2,0,64.08,0.0692,37,0.2748,59
275,1,2025-05-29,30,720,0.0236,378,60,6,2,0,72.42,0.0129,49,0.7055,14
276,1,2025-05-28,29,696,0.0226,590,58,4,3,0,66.85,0.0534,64,0.7282,126
277,1,2025-05-27,24,480,0.0217,215,144,5,1,0,53.15,0.015,71,0.5683,98
278,1,2025-05-26,30,630,0.0223,74,150,4,3,0,68.31,0.0467,26,0.5465,54
279,1,2025-05-25,40,680,0.0251,220,160,9,4,1,102.73,0.0308,36,0.2378,235
280,1,2025-05-24,30,540,0.0244,545,180,7,3,0,74.86,0.0396,46,0.3998,40
281,1,2025-05-23,28,812,0.0222,351,56,7,2,0,63.58,0.0523,26,0.8577,72
282,1,2025-05-22,25,450,0.0224,221,125,3,2,0,57.14,0.065,61,0.7212,57
283,1,2025-05-21,30,570,0.0189,165,210,6,3,0,58.02,0.0251,54,0.5594,32
284,1,2025-05-20,31,899,0.0244,488,62,7,1,0,77.18,0.061,60,0.8279,276
285,1,2025-05-19,29,435,0.0242,466,87,3,4,0,71.82,0.0793,74,0.2216,201
286,1,2025-05-18,33,594,0.0187,598,165,7,3,0,63.12,0.0495,53,0.8121,296
